date,season,stage,round,is_playoff,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,source
2018-09-22,2018-19,Apertura,10,False,Toluca,Necaxa,3.0,2.0,0.0,1.0,footballcsv
2018-09-23,2018-19,Apertura,10,False,Tigres UANL,Monterrey,0.0,0.0,0.0,0.0,footballcsv
2018-09-23,2018-19,Apertura,10,False,Santos Laguna,Veracruz,1.0,1.0,0.0,0.0,footballcsv
2018-09-23,2018-19,Apertura,10,False,Guadalajara,Querétaro,1.0,1.0,0.0,0.0,footballcsv
2018-09-28,2018-19,Apertura,11,False,Veracruz,León,0.0,4.0,0.0,1.0,footballcsv
2018-09-28,2018-19,Apertura,11,False,Atlas,Toluca,2.0,0.0,1.0,0.0,footballcsv
2018-09-29,2018-19,Apertura,11,False,Necaxa,Santos Laguna,0.0,1.0,0.0,1.0,footballcsv
2018-09-29,2018-19,Apertura,11,False,Pachuca,Cruz Azul,3.0,1.0,3.0,1.0,footballcsv
2018-09-29,2018-19,Apertura,11,False,Querétaro,Tigres UANL,0.0,2.0,0.0,0.0,footballcsv
2018-09-29,2018-19,Apertura,11,False,Monterrey,Tijuana,3.0,0.0,1.0,0.0,footballcsv
2018-09-30,2018-19,Apertura,11,False,América,Guadalajara,1.0,1.0,0.0,0.0,footballcsv
2018-09-30,2018-19,Apertura,11,False,Lobos BUAP,Monarcas Morelia,3.0,1.0,1.0,0.0,footballcsv
2018-09-30,2018-19,Apertura,11,False,Pumas UNAM,Puebla,2.0,2.0,2.0,0.0,footballcsv
2018-10-05,2018-19,Apertura,12,False,Veracruz,Necaxa,0.0,0.0,0.0,0.0,footballcsv
2018-10-05,2018-19,Apertura,12,False,Santos Laguna,Atlas,3.0,1.0,1.0,0.0,footballcsv
2018-10-06,2018-19,Apertura,12,False,Cruz Azul,Monterrey,2.0,1.0,1.0,1.0,footballcsv
2018-10-06,2018-19,Apertura,12,False,Tijuana,Querétaro,1.0,1.0,1.0,0.0,footballcsv
2018-10-06,2018-19,Apertura,12,False,Guadalajara,Pumas UNAM,1.0,2.0,1.0,1.0,footballcsv
2018-10-06,2018-19,Apertura,12,False,León,Monarcas Morelia,1.0,2.0,0.0,0.0,footballcsv
2018-10-06,2018-19,Apertura,12,False,Tigres UANL,América,2.0,3.0,1.0,1.0,footballcsv
2018-10-07,2018-19,Apertura,12,False,Toluca,Pachuca,2.0,1.0,1.0,1.0,footballcsv
2018-10-07,2018-19,Apertura,12,False,Puebla,Lobos BUAP,2.0,2.0,0.0,1.0,footballcsv
2018-10-19,2018-19,Apertura,13,False,Atlas,Veracruz,4.0,3.0,2.0,2.0,footballcsv
2018-10-20,2018-19,Apertura,13,False,Monterrey,Toluca,2.0,1.0,0.0,0.0,footballcsv
2018-10-20,2018-19,Apertura,13,False,América,Tijuana,3.0,0.0,2.0,0.0,footballcsv
2018-10-20,2018-19,Apertura,13,False,Necaxa,León,0.0,2.0,0.0,1.0,footballcsv
2018-10-20,2018-19,Apertura,13,False,Querétaro,Cruz Azul,2.0,0.0,0.0,0.0,footballcsv
2018-10-20,2018-19,Apertura,13,False,Pachuca,Santos Laguna,1.0,1.0,1.0,0.0,footballcsv
2018-10-21,2018-19,Apertura,13,False,Pumas UNAM,Tigres UANL,3.0,3.0,2.0,2.0,footballcsv
2018-10-21,2018-19,Apertura,13,False,Monarcas Morelia,Puebla,2.0,0.0,0.0,0.0,footballcsv
2018-10-21,2018-19,Apertura,13,False,Lobos BUAP,Guadalajara,1.0,1.0,1.0,0.0,footballcsv
2018-10-26,2018-19,Apertura,14,False,Santos Laguna,Monterrey,1.0,0.0,1.0,0.0,footballcsv
