date,season,stage,round,is_playoff,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,source,match_id,home_elo_pre,away_elo_pre,elo_diff_pre,h2h_home_wins_last_5,h2h_draws_last_5,h2h_away_wins_last_5,h2h_home_goals_last_5,h2h_away_goals_last_5,h2h_matches_last_5,h2h_home_wins_last_10,h2h_draws_last_10,h2h_away_wins_last_10,h2h_home_goals_last_10,h2h_away_goals_last_10,h2h_matches_last_10,home_wins_last_3,home_points_last_3,home_goals_for_last_3,home_goals_against_last_3,home_goal_diff_last_3,home_avg_goals_scored_last_3,home_avg_goals_conceded_last_3,home_wins_last_5,home_points_last_5,home_goals_for_last_5,home_goals_against_last_5,home_goal_diff_last_5,home_avg_goals_scored_last_5,home_avg_goals_conceded_last_5,home_wins_last_10,home_points_last_10,home_goals_for_last_10,home_goals_against_last_10,home_goal_diff_last_10,home_avg_goals_scored_last_10,home_avg_goals_conceded_last_10,home_clean_sheet_rate_last_3,home_clean_sheet_rate_last_5,home_clean_sheet_rate_last_10,home_matches_played_so_far,home_days_since_last_match,home_venue_win_rate,home_venue_goals,home_venue_goals_conceded,away_wins_last_3,away_points_last_3,away_goals_for_last_3,away_goals_against_last_3,away_goal_diff_last_3,away_avg_goals_scored_last_3,away_avg_goals_conceded_last_3,away_wins_last_5,away_points_last_5,away_goals_for_last_5,away_goals_against_last_5,away_goal_diff_last_5,away_avg_goals_scored_last_5,away_avg_goals_conceded_last_5,away_wins_last_10,away_points_last_10,away_goals_for_last_10,away_goals_against_last_10,away_goal_diff_last_10,away_avg_goals_scored_last_10,away_avg_goals_conceded_last_10,away_clean_sheet_rate_last_3,away_clean_sheet_rate_last_5,away_clean_sheet_rate_last_10,away_matches_played_so_far,away_days_since_last_match,away_venue_win_rate,away_venue_goals,away_venue_goals_conceded,result,total_goals
2018-08-04,2018-19,Apertura,3,False,Cruz Azul,Tigres UANL,1.0,0.0,0.0,0.0,footballcsv,21,1518.5529836833807,1513.3149155756644,5.2380681077163445,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,2.0,6.0,4.0,0.0,4.0,2.0,0.0,2.0,6.0,4.0,0.0,4.0,2.0,0.0,2.0,6.0,4.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,2,7.0,1.0,3.0,0.0,2.0,6.0,3.0,0.0,3.0,1.5,0.0,2.0,6.0,3.0,0.0,3.0,1.5,0.0,2.0,6.0,3.0,0.0,3.0,1.5,0.0,1.0,1.0,1.0,2,6.0,,,,H,1.0
2018-08-04,2018-19,Apertura,3,False,Monterrey,Querétaro,2.0,1.0,1.0,1.0,footballcsv,22,1521.465674083426,1507.2190787951545,14.246595288271465,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,2.0,6.0,3.0,0.0,3.0,1.5,0.0,2.0,6.0,3.0,0.0,3.0,1.5,0.0,2.0,6.0,3.0,0.0,3.0,1.5,0.0,1.0,1.0,1.0,2,6.0,,,,1.0,4.0,1.0,0.0,1.0,0.5,0.0,1.0,4.0,1.0,0.0,1.0,0.5,0.0,1.0,4.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,2,7.0,0.0,0.0,0.0,H,3.0
2018-08-04,2018-19,Apertura,3,False,Necaxa,Lobos BUAP,1.0,0.0,0.0,0.0,footballcsv,23,1497.2406163380663,1502.7593836619337,-5.518767323867451,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,5.0,6.0,-1.0,2.5,3.0,1.0,3.0,5.0,6.0,-1.0,2.5,3.0,1.0,3.0,5.0,6.0,-1.0,2.5,3.0,0.0,0.0,0.0,2,6.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.5,1.0,1.0,3.0,3.0,2.0,1.0,1.5,1.0,1.0,3.0,3.0,2.0,1.0,1.5,1.0,0.5,0.5,0.5,2,6.0,0.0,1.0,2.0,H,1.0
2018-08-05,2018-19,Apertura,3,False,Toluca,Guadalajara,2.0,2.0,1.0,1.0,footballcsv,24,1502.6391925579155,1486.6219011343499,16.017291423565666,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,3.0,2.0,1.0,1.5,1.0,1.0,3.0,3.0,2.0,1.0,1.5,1.0,1.0,3.0,3.0,2.0,1.0,1.5,1.0,0.5,0.5,0.5,2,9.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,-2.0,0.5,1.5,0.0,0.0,1.0,3.0,-2.0,0.5,1.5,0.0,0.0,1.0,3.0,-2.0,0.5,1.5,0.0,0.0,0.0,2,8.0,0.0,1.0,2.0,D,4.0
2018-08-05,2018-19,Apertura,3,False,Santos Laguna,Puebla,2.0,0.0,1.0,0.0,footballcsv,25,1496.531721136917,1495.2130361882776,1.3186849486394294,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,3.0,4.0,-1.0,1.5,2.0,1.0,3.0,3.0,4.0,-1.0,1.5,2.0,1.0,3.0,3.0,4.0,-1.0,1.5,2.0,0.0,0.0,0.0,2,9.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,-2.0,1.0,2.0,1.0,3.0,2.0,4.0,-2.0,1.0,2.0,1.0,3.0,2.0,4.0,-2.0,1.0,2.0,0.0,0.0,0.0,2,9.0,0.0,0.0,3.0,H,2.0
2018-08-05,2018-19,Apertura,3,False,Tijuana,León,1.0,1.0,0.0,0.0,footballcsv,26,1500.06196762372,1478.832208698653,21.229758925067017,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2,7.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,-4.0,0.0,2.0,0.0,0.0,0.0,4.0,-4.0,0.0,2.0,0.0,0.0,0.0,4.0,-4.0,0.0,2.0,0.0,0.0,0.0,2,7.0,0.0,0.0,2.0,D,2.0
2018-08-10,2018-19,Apertura,4,False,Puebla,Veracruz,1.0,2.0,0.0,0.0,footballcsv,28,1487.0538984130749,1476.9354299554732,10.118468457601693,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,2.0,6.0,-4.0,0.6666666666666666,2.0,1.0,3.0,2.0,6.0,-4.0,0.6666666666666666,2.0,1.0,3.0,2.0,6.0,-4.0,0.6666666666666666,2.0,0.0,0.0,0.0,3,5.0,1.0,2.0,1.0,0.0,1.0,2.0,6.0,-4.0,0.6666666666666666,2.0,0.0,1.0,2.0,6.0,-4.0,0.6666666666666666,2.0,0.0,1.0,2.0,6.0,-4.0,0.6666666666666666,2.0,0.0,0.0,0.0,3,7.0,0.0,0.0,2.0,A,3.0
2018-08-10,2018-19,Apertura,4,False,Monarcas Morelia,Necaxa,2.0,1.0,1.0,0.0,footballcsv,27,1502.0994739589196,1502.5294568346706,-0.42998287575096583,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,4.0,5.0,5.0,0.0,1.6666666666666667,1.6666666666666667,1.0,4.0,5.0,5.0,0.0,1.6666666666666667,1.6666666666666667,1.0,4.0,5.0,5.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,3,7.0,1.0,3.0,1.0,2.0,6.0,6.0,6.0,0.0,2.0,2.0,2.0,6.0,6.0,6.0,0.0,2.0,2.0,2.0,6.0,6.0,6.0,0.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,6.0,0.0,3.0,5.0,H,3.0
2018-08-11,2018-19,Apertura,4,False,Lobos BUAP,Atlas,0.0,0.0,0.0,0.0,footballcsv,32,1497.4705431653294,1471.5852533122893,25.88528985304015,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,7.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,-6.0,0.0,2.0,0.0,1.0,0.0,6.0,-6.0,0.0,2.0,0.0,1.0,0.0,6.0,-6.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,8.0,0.0,0.0,3.0,D,0.0
2018-08-11,2018-19,Apertura,4,False,León,Querétaro,4.0,0.0,2.0,0.0,footballcsv,31,1481.6660939870421,1502.3324037257453,-20.66630973870315,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,1.0,5.0,-4.0,0.3333333333333333,1.6666666666666667,0.0,1.0,1.0,5.0,-4.0,0.3333333333333333,1.6666666666666667,0.0,1.0,1.0,5.0,-4.0,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0,3,6.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,1.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,1.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,7.0,0.0,0.5,1.0,H,4.0
