date,season,stage,round,is_playoff,home_team_raw,away_team_raw,home_goals,away_goals,home_ht_goals,away_ht_goals,source,home_team,away_team
2018-09-01,2018-19,Apertura,8,False,UANL Tigres,Atlas Guadalajara,3.0,1.0,0.0,1.0,footballcsv,Tigres UANL,Atlas
2018-09-02,2018-19,Apertura,8,False,Lobos BUAP,CF América,0.0,2.0,0.0,1.0,footballcsv,Lobos BUAP,América
2018-09-02,2018-19,Apertura,8,False,Deportivo Toluca,Santos Laguna,2.0,1.0,1.0,1.0,footballcsv,Toluca,Santos Laguna
2018-09-14,2018-19,Apertura,9,False,CD Veracruz,Deportivo Toluca,2.0,3.0,0.0,2.0,footballcsv,Veracruz,Toluca
2018-09-15,2018-19,Apertura,9,False,Gallos Blancos,Puebla FC,0.0,1.0,0.0,0.0,footballcsv,Querétaro,Puebla
2018-09-15,2018-19,Apertura,9,False,CF Pachuca,UANL Tigres,1.0,1.0,1.0,0.0,footballcsv,Pachuca,Tigres UANL
2018-09-15,2018-19,Apertura,9,False,CF América,Monarcas Morelia,2.0,1.0,1.0,0.0,footballcsv,América,Monarcas Morelia
2018-09-15,2018-19,Apertura,9,False,Club Necaxa,Cruz Azul,2.0,0.0,1.0,0.0,footballcsv,Necaxa,Cruz Azul
2018-09-15,2018-19,Apertura,9,False,CF Monterrey,Deportivo Guadalajara,2.0,4.0,0.0,1.0,footballcsv,Monterrey,Guadalajara
2018-09-16,2018-19,Apertura,9,False,Santos Laguna,Club León,3.0,0.0,1.0,0.0,footballcsv,Santos Laguna,León
2018-09-16,2018-19,Apertura,9,False,Atlas Guadalajara,Club Tijuana,0.0,1.0,0.0,0.0,footballcsv,Atlas,Tijuana
2018-09-16,2018-19,Apertura,9,False,Pumas UNAM,Lobos BUAP,4.0,2.0,1.0,0.0,footballcsv,Pumas UNAM,Lobos BUAP
2018-09-21,2018-19,Apertura,10,False,Puebla FC,CF América,2.0,3.0,1.0,2.0,footballcsv,Puebla,América
2018-09-21,2018-19,Apertura,10,False,Monarcas Morelia,Pumas UNAM,0.0,0.0,0.0,0.0,footballcsv,Monarcas Morelia,Pumas UNAM
2018-09-22,2018-19,Apertura,10,False,Club León,Lobos BUAP,0.0,1.0,0.0,0.0,footballcsv,León,Lobos BUAP
2018-09-22,2018-19,Apertura,10,False,Club Tijuana,CF Pachuca,1.0,0.0,0.0,0.0,footballcsv,Tijuana,Pachuca
2018-09-22,2018-19,Apertura,10,False,Cruz Azul,Atlas Guadalajara,2.0,0.0,1.0,0.0,footballcsv,Cruz Azul,Atlas
2018-09-22,2018-19,Apertura,10,False,Deportivo Toluca,Club Necaxa,3.0,2.0,0.0,1.0,footballcsv,Toluca,Necaxa
